regret: 46	maxRegret: 337.84	weights: (0.113, 0.102, 0.128, 0.101, 0.108, 0.088, 0.088, 0.096, 0.082, 0.095)
regret: 46	maxRegret: 337.84	weights: (0.113, 0.102, 0.128, 0.101, 0.108, 0.088, 0.088, 0.096, 0.082, 0.095)
regret: 46	maxRegret: 337.84	weights: (0.113, 0.102, 0.128, 0.101, 0.108, 0.088, 0.088, 0.096, 0.082, 0.095)
regret: 47	maxRegret: 337.96	weights: (0.113, 0.102, 0.128, 0.101, 0.108, 0.088, 0.088, 0.096, 0.082, 0.095)
regret: 47	maxRegret: 337.96	weights: (0.113, 0.102, 0.128, 0.101, 0.108, 0.088, 0.088, 0.096, 0.082, 0.095)
regret: 47	maxRegret: 337.96	weights: (0.113, 0.102, 0.128, 0.101, 0.108, 0.088, 0.088, 0.096, 0.082, 0.095)
regret: 47	maxRegret: 338.08	weights: (0.120, 0.101, 0.127, 0.100, 0.107, 0.087, 0.087, 0.095, 0.081, 0.094)
regret: 47	maxRegret: 338.08	weights: (0.120, 0.101, 0.127, 0.100, 0.107, 0.087, 0.087, 0.095, 0.081, 0.094)
regret: 48	maxRegret: 338.20	weights: (0.120, 0.101, 0.127, 0.100, 0.107, 0.087, 0.087, 0.095, 0.081, 0.094)
regret: 48	maxRegret: 338.32	weights: (0.119, 0.101, 0.133, 0.099, 0.107, 0.087, 0.086, 0.094, 0.081, 0.094)
regret: 48	maxRegret: 338.32	weights: (0.119, 0.101, 0.133, 0.099, 0.107, 0.087, 0.086, 0.094, 0.081, 0.094)
regret: 49	maxRegret: 338.44	weights: (0.119, 0.101, 0.133, 0.099, 0.107, 0.087, 0.086, 0.094, 0.081, 0.094)
regret: 50	maxRegret: 338.56	weights: (0.119, 0.101, 0.133, 0.099, 0.107, 0.087, 0.086, 0.094, 0.081, 0.094)
regret: 50	maxRegret: 338.56	weights: (0.119, 0.101, 0.133, 0.099, 0.107, 0.087, 0.086, 0.094, 0.081, 0.094)
regret: 51	maxRegret: 338.68	weights: (0.119, 0.101, 0.133, 0.099, 0.107, 0.087, 0.086, 0.094, 0.081, 0.094)
regret: 52	maxRegret: 338.80	weights: (0.119, 0.101, 0.133, 0.099, 0.107, 0.087, 0.086, 0.094, 0.081, 0.094)
regret: 52	maxRegret: 338.80	weights: (0.119, 0.101, 0.133, 0.099, 0.107, 0.087, 0.086, 0.094, 0.081, 0.094)
regret: 53	maxRegret: 338.92	weights: (0.119, 0.101, 0.133, 0.099, 0.107, 0.087, 0.086, 0.094, 0.081, 0.094)
regret: 53	maxRegret: 339.04	weights: (0.118, 0.107, 0.132, 0.099, 0.106, 0.086, 0.086, 0.094, 0.080, 0.093)
